200 3734
1 80 983
1 163 8165
1 170 2621
1 145 649
1 200 8022
1 173 2070
1 92 648
1 26 4123
1 140 547
1 11 1914
1 160 6462
1 27 7906
1 40 9048
1 150 2184
1 61 9147
1 159 7421
1 198 1725
1 114 509
1 104 6648
1 30 4613
1 99 2368
1 138 7897
1 169 8701
1 49 2438
1 125 2910
1 117 2598
1 55 6400
2 42 1690
2 127 9366
2 5 8027
2 170 9343
2 131 7006
2 172 1439
2 34 316
2 30 2456
2 26 2329
2 6 8848
2 11 1874
2 17 5410
2 157 8644
2 159 1398
2 142 7732
2 182 7909
2 93 8178
3 57 1240
3 101 3382
3 43 7314
3 41 7213
3 91 2484
3 31 3032
3 167 3878
3 106 6522
3 76 7730
3 122 9641
3 144 286
3 44 2166
3 6 9007
3 177 7098
3 119 7712
4 162 3925
4 70 5286
4 195 2491
4 72 6509
4 126 2626
4 121 7640
4 31 400
4 118 3627
4 90 9447
4 127 6809
4 135 7583
4 159 6134
4 106 4770
4 52 9268
4 190 7537
4 78 8059
4 75 7045
4 116 6772
4 49 620
4 107 4384
4 89 6364
4 54 314
5 200 4010
5 112 1523
5 25 3497
5 23 9433
5 64 7837
5 56 8263
5 120 1863
5 2 8027
5 90 8920
5 142 1196
5 81 2470
5 182 8807
5 17 2515
5 83 8408
5 146 5309
5 147 1088
5 51 23
6 141 8201
6 98 5595
6 66 6628
6 159 9501
6 143 3111
6 129 8526
6 118 8548
6 88 2040
6 83 4950
6 165 6474
6 162 6898
6 184 8022
6 123 14
6 176 3513
6 195 2234
6 42 7266
6 47 275
6 132 1515
6 2 8848
6 171 3723
6 3 9007
7 156 7028
7 187 9523
7 87 4977
7 121 8740
7 56 6617
7 10 2905
7 71 8207
7 53 180
7 146 4824
7 165 6020
7 125 5671
7 27 4889
7 63 9921
7 150 9032
7 84 4062
8 152 1258
8 189 2781
8 58 4709
8 26 8343
8 199 1919
8 31 3988
8 35 3161
8 71 5830
8 27 3484
8 69 8816
8 130 56
8 168 2077
8 122 5339
8 73 4529
8 28 9997
8 17 3536
8 40 3194
8 72 7309
8 24 8435
8 87 2834
8 25 3950
8 175 1023
8 177 8509
9 152 1088
9 115 7828
9 17 7003
9 72 795
9 150 4540
9 190 3614
9 95 9481
9 36 5285
9 166 8703
9 63 1754
9 199 71
9 131 701
9 76 9341
9 70 3
9 139 8702
9 140 4164
9 180 5996
10 57 9989
10 78 3772
10 62 4817
10 137 5274
10 7 2905
10 187 4787
10 184 3208
10 96 808
10 31 1185
10 88 2540
10 135 4651
10 168 9496
10 164 3867
10 11 8989
10 116 1494
10 51 5579
10 171 2030
11 1 1914
11 185 2046
11 77 816
11 22 8426
11 181 8449
11 47 8728
11 81 7300
11 150 4803
11 178 1697
11 28 2276
11 183 595
11 131 834
11 157 8498
11 25 5058
11 59 3204
11 10 8989
11 2 1874
11 134 295
11 83 4212
11 124 6181
12 78 5754
12 17 4603
12 62 5677
12 16 8069
12 60 5934
12 67 372
12 71 6735
12 53 7002
12 72 3627
12 34 6691
12 59 762
12 18 1521
12 128 7543
12 38 6700
12 57 9417
13 144 9988
13 59 9802
13 97 7027
13 50 759
13 43 5401
13 163 3871
13 178 4195
13 151 9630
13 45 1795
13 105 6822
13 29 2785
13 172 2071
13 57 6851
13 77 8639
13 135 862
14 149 4353
14 187 4875
14 26 3842
14 128 9663
14 155 4447
14 118 374
14 123 2734
14 106 7913
14 169 4334
14 53 9198
14 161 4276
14 126 9603
14 73 4107
14 160 7861
14 131 359
14 141 4478
14 119 961
14 43 3200
14 47 7899
14 175 6719
14 177 6742
14 60 2465
14 127 5683
14 31 1946
14 143 5849
14 94 3552
14 82 3284
15 42 1790
15 22 3572
15 25 7020
15 163 819
15 56 2335
15 100 810
15 143 1042
15 107 4590
15 190 6855
15 169 7486
15 94 9607
15 34 7962
15 54 8984
15 157 2137
15 24 8041
16 200 2849
16 198 2224
16 92 2897
16 18 8664
16 27 8674
16 75 4117
16 150 1681
16 36 1556
16 41 2748
16 90 4559
16 68 5895
16 12 8069
16 42 2597
16 185 6281
16 171 3483
16 109 1470
16 127 9808
16 178 1715
16 35 840
16 56 9829
16 134 5204
16 55 6681
16 110 4253
17 26 1276
17 45 5115
17 142 8017
17 83 4616
17 140 6441
17 8 3536
17 69 3611
17 153 8546
17 9 7003
17 12 4603
17 173 7313
17 114 8916
17 108 1943
17 54 3116
17 66 6177
17 190 7001
17 70 3900
17 5 2515
17 178 7465
17 166 4763
17 2 5410
17 146 5363
17 117 6267
18 57 4217
18 80 5253
18 86 7518
18 62 1927
18 120 45
18 173 7257
18 133 2703
18 148 590
18 167 7626
18 16 8664
18 170 4990
18 118 6389
18 142 333
18 95 6123
18 99 5718
18 154 454
18 150 5151
18 149 2665
18 146 9001
18 171 4404
18 111 786
18 12 1521
19 33 6939
19 77 7014
19 187 108
19 109 8398
19 88 2003
19 95 8692
19 132 3158
19 195 5039
19 154 4321
19 23 8561
19 152 9752
19 185 5897
19 119 7407
19 160 3998
19 80 63
20 66 2668
20 173 2677
20 43 8106
20 135 6435
20 33 6388
20 74 6184
20 106 8786
20 75 2485
20 130 9049
20 56 7195
20 50 9508
20 88 3015
20 124 393
20 61 2581
20 90 7373
20 92 1705
20 87 2640
20 154 2399
20 41 4204
20 85 1436
20 169 5991
20 166 6087
20 28 2235
20 145 8100
21 23 5184
21 40 2200
21 31 2557
21 71 4987
21 165 2152
21 193 495
21 154 1846
21 111 3061
